ref,content,piece,melody,year,instrument,performer,,location,collector,notes,comments,archive,file,kivike,order
"RKM, Mgn. II 2650 g","Oirah, oirah",,,1972,lõõts,Matvei Auväärt,,Muhu khk.,Leida Vokk,,,"RKM, Mgn. II",RKM_Mgn_II/Vahemikust__2001-3000/M2-2650--g)--oirah_oirah__loots.mp3,K0,41919
"RKM, Mgn. II 2650 i",Padespaan,,,1972,"lõõts, laul","Matvei Auväärt, Salme Ausmeel, Leida Vokk",,Muhu khk.,Leida Vokk,,,"RKM, Mgn. II",RKM_Mgn_II/Vahemikust__2001-3000/M2-2650--i)--padespaan__loots_l.mp3,K0,41920
"RKM, Mgn. II 2650 k",Polka,,,1972,lõõts,Matvei Auväärt,,Muhu khk.,Leida Vokk,,,"RKM, Mgn. II",RKM_Mgn_II/Vahemikust__2001-3000/M2-2650--k)--polka__loots.mp3,K0,41921
"RKM, Mgn. II 2651 d",Valss,,,1972,akordion,Eve Nikkel,,Muhu khk.,Leida Vokk,,,"RKM, Mgn. II",RKM_Mgn_II/Vahemikust__2001-3000/M2-2651--d)--valss__akordion.mp3,K0,41922
"RKM, Mgn. II 2651 e",Polka,,,1972,lõõts,Matvei Auväärt,,Muhu khk.,Leida Vokk,,,"RKM, Mgn. II",RKM_Mgn_II/Vahemikust__2001-3000/M2-2651--e)--polka__loots.mp3,K0,41923
"RKM, Mgn. II 2651 f","Reinlender ""Läksin mina :| läbi külatänava""",Läksin mina läbi külatänava,I,1972,lõõts,Matvei Auväärt,,Muhu khk.,Leida Vokk,,,"RKM, Mgn. II",RKM_Mgn_II/Vahemikust__2001-3000/M2-2651--f)--reinlender__loots.mp3,K0,41924
"RKM, Mgn. II 2651 g",Uisupoiste polka,,,1972,lõõts,Matvei Auväärt,,Muhu khk.,Leida Vokk,,,"RKM, Mgn. II",RKM_Mgn_II/Vahemikust__2001-3000/M2-2651--g)--uisupoiste_polka__loots.mp3,K0,41925
"RKM, Mgn. II 2651 h",Ma vaatan paadist kiikriga,,,1972,akordion,Eve Nikkel,,Muhu khk.,Leida Vokk,,,"RKM, Mgn. II",RKM_Mgn_II/Vahemikust__2001-3000/M2-2651--h)--ma_vaatan_paadist__akordion.mp3,K0,41926
"RKM, Mgn. II 2697 a",Polka,,,1975,lõõts,Timofei Habe,,Muhu khk.,"Ingrid Rüütel, O. Kiis",,,"RKM, Mgn. II",RKM_Mgn_II/Vahemikust__2001-3000/M2-2697--a)--polka__loots.mp3,K0,41927
"RKM, Mgn. II 2697 b",Meremeeste valtser,,,1975,lõõts,Timofei Habe,,Muhu khk.,"Ingrid Rüütel, O. Kiis",,,"RKM, Mgn. II",RKM_Mgn_II/Vahemikust__2001-3000/M2-2697--b)--meremeeste_valtser__loots.mp3,K0,41928
"RKM, Mgn. II 2697 c",Valtser (kahe rea lugu),,,1975,lõõts,Timofei Habe,,Muhu khk.,"Ingrid Rüütel, O. Kiis",,,"RKM, Mgn. II",RKM_Mgn_II/Vahemikust__2001-3000/M2-2697--c)--a_kui_prooviks_nyyd__loots.mp3,K0,41929
"RKM, Mgn. II 2697 d",Takkalaetud + vestl.,,,1975,lõõts,Timofei Habe,,Muhu khk.,"Ingrid Rüütel, O. Kiis",,,"RKM, Mgn. II",RKM_Mgn_II/Vahemikust__2001-3000/M2-2697--d)--aga_miks_tal_niisuke__j_loots.mp3,K0,41930
"RKM, Mgn. II 2697 f",Viljandi linnas,,,1975,lõõts,Timofei Habe,,Muhu khk.,"Ingrid Rüütel, O. Kiis",,,"RKM, Mgn. II",RKM_Mgn_II/Vahemikust__2001-3000/M2-2697--f)--Viljandi_linnas__loots.mp3,K0,41931
"RKM, Mgn. II 2697 h",Rakuljak,,,1975,lõõts,Timofei Habe,,Muhu khk.,"Ingrid Rüütel, O. Kiis",,,"RKM, Mgn. II",RKM_Mgn_II/Vahemikust__2001-3000/M2-2697--h)--rakuljak__loots.mp3,K0,41932
"RKM, Mgn. II 2697 j",Valtser,,,1975,lõõts,Timofei Habe,,Muhu khk.,"Ingrid Rüütel, O. Kiis",,,"RKM, Mgn. II",RKM_Mgn_II/Vahemikust__2001-3000/M2-2697--j)--valtser__loots.mp3,K0,41933
"RKM, Mgn. II 2697 k",Muktants + vestl.,,,1975,lõõts,Timofei Habe,,Muhu khk.,"Ingrid Rüütel, O. Kiis",,,"RKM, Mgn. II",RKM_Mgn_II/Vahemikust__2001-3000/M2-2697--k)--kuidas_see_muktants__loots_j.mp3,K0,41934
"RKM, Mgn. II 2697 l",Kaera-Jaan + vestl.,,,1975,lõõts,Timofei Habe,,Muhu khk.,"Ingrid Rüütel, O. Kiis",,,"RKM, Mgn. II",RKM_Mgn_II/Vahemikust__2001-3000/M2-2697--l)--siis_olid_kaerajaanid__loots_j.mp3,K0,41935
"RKM, Mgn. II 2697 m",Miljang + vestl.,,,1975,lõõts,Timofei Habe,,Muhu khk.,"Ingrid Rüütel, O. Kiis",,,"RKM, Mgn. II",RKM_Mgn_II/Vahemikust__2001-3000/M2-2697--m)--a_mis_lugu_see__loots_j.mp3,K0,41936
"RKM, Mgn. II 2697 o",Leilender,,,1975,lõõts,Timofei Habe,,Muhu khk.,"Ingrid Rüütel, O. Kiis",,,"RKM, Mgn. II",RKM_Mgn_II/Vahemikust__2001-3000/M2-2697--o)--mangige_moni__loots.mp3,K0,41937
"RKM, Mgn. II 2697 p",Leilender,,,1975,lõõts,Timofei Habe,,Muhu khk.,"Ingrid Rüütel, O. Kiis",,,"RKM, Mgn. II",RKM_Mgn_II/Vahemikust__2001-3000/M2-2697--p)--leilender__loots.mp3,K0,41938
"RKM, Mgn. II 2697 r",Leilender (Linga Ivandi lugu) + vestl.,,,1975,lõõts,Timofei Habe,,Muhu khk.,"Ingrid Rüütel, O. Kiis",,,"RKM, Mgn. II",RKM_Mgn_II/Vahemikust__2001-3000/M2-2697--r)--ehk_tuleb_veel__loots_j.mp3,K0,41939
"RKM, Mgn. II 2697 t",Vahetusega leilender (tantsu saateks) + vestl.,,,1975,lõõts,Timofei Habe,,Muhu khk.,"Ingrid Rüütel, O. Kiis",,,"RKM, Mgn. II",RKM_Mgn_II/Vahemikust__2001-3000/M2-2697--t)--aga_kas_vahepeal__j.mp3,K0,41940
"RKM, Mgn. II 2697 u",Kas tahad tulla minuga,,,1975,lõõts,Timofei Habe,,Muhu khk.,"Ingrid Rüütel, O. Kiis",,,"RKM, Mgn. II",RKM_Mgn_II/Vahemikust__2001-3000/M2-2697--u)--kas_tahad_tulla__loots.mp3,K0,41941
"RKM, Mgn. II 2697 õ",Polka,,,1975,lõõts,Timofei Habe,,Muhu khk.,"Ingrid Rüütel, O. Kiis",,,"RKM, Mgn. II",RKM_Mgn_II/Vahemikust__2001-3000/M2-2697--v2--polka__loots.mp3,K0,41942
"RKM, Mgn. II 2697 ä",Polka,,,1975,lõõts,Timofei Habe,,Muhu khk.,"Ingrid Rüütel, O. Kiis",,,"RKM, Mgn. II",RKM_Mgn_II/Vahemikust__2001-3000/M2-2697--v3--ega_sellel_polkal__loots.mp3,K0,41943
"RKM, Mgn. II 2697 ö",Vanaisa polka,Vanaisa polka,,1975,lõõts,Timofei Habe,,Muhu khk.,"Ingrid Rüütel, O. Kiis",,,"RKM, Mgn. II",RKM_Mgn_II/Vahemikust__2001-3000/M2-2697--v4--vanaisa_polka__loots.mp3,K0,41944
"RKM, Mgn. II 2697 ü",Kitajanka,,,1975,lõõts,Timofei Habe,,Muhu khk.,"Ingrid Rüütel, O. Kiis",,,"RKM, Mgn. II",RKM_Mgn_II/Vahemikust__2001-3000/M2-2697--v5--kitajanka__loots.mp3,K0,41945
"RKM, Mgn. II 2697 x",Koerad-koerad (Oirah),,,1975,lõõts,Timofei Habe,,Muhu khk.,"Ingrid Rüütel, O. Kiis",,,"RKM, Mgn. II",RKM_Mgn_II/Vahemikust__2001-3000/M2-2697--x)--ja_koerad__loots.mp3,K0,41946
"RKM, Mgn. II 2697 y",Labajala valtser,,,1975,lõõts,Timofei Habe,,Muhu khk.,"Ingrid Rüütel, O. Kiis",,,"RKM, Mgn. II",RKM_Mgn_II/Vahemikust__2001-3000/M2-2697--y1--labajala_valtser__loots.mp3,K0,41947
